Company,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Day/Night Launch,Complex ID,Launch Site,Territory,Country
AMBA,12/6/58,5:44:00,Juno II,Pioneer 3,Retired,Partial Failure,Night,LC-5,Cape Canaveral AFS,Florida,USA
US Air Force,12/18/58,23:02:00,SM-65B Atlas,SCORE,Retired,Success,Night,LC-11,Cape Canaveral AFS,Florida,USA
US Navy,2/17/59,15:55:00,Vanguard,Vanguard 2,Retired,Success,Day,LC-18A,Cape Canaveral AFS,Florida,USA
US Air Force,2/28/59,21:49:00,Thor-DM18 Agena-A,Discoverer 1,Retired,Failure,Night,SLC-1W (75-3-4),Vandenberg AFB,California,USA
US Air Force,4/13/59,21:18:00,Thor-DM18 Agena-A,Discoverer 2,Retired,Success,Night,SLC-1W (75-3-4),Vandenberg AFB,California,USA
US Navy,4/14/59,2:49:00,Vanguard,Vanguard SLV-5,Retired,Failure,Night,LC-18A,Cape Canaveral AFS,Florida,USA
US Air Force,6/3/59,20:09:00,Thor-DM18 Agena-A,Discoverer 3,Retired,Failure,Night,SLC-1W (75-3-4),Vandenberg AFB,California,USA
US Navy,6/22/59,20:16:00,Vanguard,Vanguard SLV-6,Retired,Failure,Night,LC-18A,Cape Canaveral AFS,Florida,USA
US Air Force,6/25/59,22:47:00,Thor-DM18 Agena-A,Discoverer 4,Retired,Failure,Night,SLC-1E (75-3-5),Vandenberg AFB,California,USA
US Air Force,8/7/59,14:24:00,Thor DM-18 Able-III,Explorer 6,Retired,Success,Day,SLC-17A,Cape Canaveral AFS,Florida,USA
US Air Force,8/13/59,19:00:00,Thor-DM18 Agena-A,Discoverer 5,Retired,Success,Night,SLC-1W (75-3-4),Vandenberg AFB,California,USA
US Air Force,8/19/59,19:24:00,Thor-DM18 Agena-A,Discoverer 6,Retired,Success,Night,SLC-1E (75-3-5),Vandenberg AFB,California,USA
